 [[99, 99,  99,  99,  99, 99, 99,   99, 99,  99, 99, 99,   99, 99,  99, 99, 99,   99, 99,  99, 99, 99,   99, 99,  99, 99, 99,   99, 99,  99, 99, 99,   99, 99,  99, 99, 99,   99, 99,  99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   98,  98,  98,   9099, 98,   99]
 [ 99, 989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 98,  98,  989_98, 900, 989_98, 99]
